"rules","support","confidence","lift","conviction"
"{style=Cafeterias} => {cuisine=American}",0.000590702936494428,1,3.43269065539403,NA
"{style=Pizzerias} => {cuisine=Italian}",0.00132157267147906,1,5.9630447761194,NA
"{price=below $15,style=Cafeterias} => {cuisine=American}",0.000590702936494428,1,3.43269065539403,NA
"{price=$30-$50,style=Caviar} => {cuisine=Russian}",0.000630750593205915,1,245.407862407862,NA
"{price=$15-$30,style=Pizzerias} => {cuisine=Italian}",0.00132157267147906,1,5.9630447761194,NA
"{price=$15-$30,style=Coffee Houses} => {cuisine=Italian}",0.0006007148506723,1,5.9630447761194,NA
"{price=$15-$30,style=Southern Comfort} => {cuisine=American}",0.000690822078273145,1,3.43269065539403,NA
"{price=over $50,style=Californian} => {cuisine=French}",0.000550655279782942,1,10.4950089313859,NA
"{price=$30-$50,style=Hamburgers} => {cuisine=American}",0.000800953134229733,1,3.43269065539403,NA
"{price=$15-$30,style=Brasserie} => {cuisine=French}",0.00285339554069343,0.95959595959596,10.0709681664815,22.3917361660376
"{price=below $15,style=Hamburgers} => {cuisine=American}",0.00417496821217249,0.928730512249443,3.18804455077797,9.94371301849203
"{price=below $15,style=Health Food} => {cuisine=Vegetarian}",0.00273325257055897,0.928571428571429,82.8095025510204,13.843013185691
"{style=Health Food} => {cuisine=Vegetarian}",0.00329391976451978,0.913888888888889,81.5001215277778,11.4826837484994
"{price=$30-$50,style=Grills} => {cuisine=American}",0.000851012705119092,0.876288659793814,3.00802789390198,5.72852360976228
"{style=Caviar} => {cuisine=Russian}",0.000750893563340375,0.862068965517241,211.558502075743,7.22045734423964
"{price=over $50,style=Continental} => {cuisine=French}",0.000680810164095273,0.860759493670886,9.03367857385119,6.49751021897877
"{price=$15-$30,style=Health Food} => {cuisine=Vegetarian}",0.000560667193960813,0.848484848484849,75.6674242424242,6.52599193039718
"{price=below $15,style=Pizza} => {cuisine=Italian}",0.006007148506723,0.842696629213483,5.02503773268489,5.29105278138127
"{style=Brasserie} => {cuisine=French}",0.00441525415244141,0.827392120075047,8.68348768994597,5.24145602832589
"{style=Pizza} => {cuisine=Italian}",0.019813578158008,0.781904385618333,4.66253086208625,3.81621812928399
"{price=$15-$30,style=Pizza} => {cuisine=Italian}",0.0133659054274587,0.752112676056338,4.48488156401093,3.35757562863444
"{style=Grills} => {cuisine=American}",0.00468557583524394,0.72,2.4715372718837,2.53101190416596
"{style=Oyster Bars} => {cuisine=Seafood}",0.000911084190186322,0.716535433070866,10.6898096475805,3.29131166087644
"{price=over $50,style=Cab} => {cuisine=French}",0.000931108018542065,0.688888888888889,7.22989504162143,2.90801768390098
"{price=$15-$30,style=Grills} => {cuisine=American}",0.0036743725032789,0.687265917602996,2.35917129312661,2.26608922102332
"{price=$30-$50,style=Soulfood} => {cuisine=American}",0.000760905477518247,0.678571428571429,2.32932580187452,2.20479259207346
"{price=below $15,style=Eclectic} => {cuisine=American}",0.00140166798490203,0.669856459330144,2.29941000839791,2.14659154538829
